periodico_id,titulo_principal,titulo_abreviado,titulo_norm,issn_impresso,issn_eletronico,issn_l,issn_impresso_norm,issn_eletronico_norm,issn_l_norm,publisher_nome,publisher_norm,pais,area_tematica,plataforma_editorial,url_principal_atual,dominio_url_principal,fonte_url_principal,ativo_editorial_recente,ano_ultimo_registro_editorial,tem_doaj,tem_latindex,tem_titledb,observacao_match
PER_8696B5C937256887,"REVISTA DE DIREITO - Trabalho, Sociedade e Cidadania",,"revista de direito - trabalho, sociedade e cidadania",,2448-2358,,,2448-2358,,Centro Universitário Instituto de Educação Superior de Brasília -IESB,centro universitario instituto de educacao superior de brasilia -iesb,Brasil,,OJS3,https://revista.iesb.br/revista/,revista.iesb.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=8; anos=2016-2023
PER_55D47D2FD3244D8A,Acta Brasileira do Movimento Humano,,acta brasileira do movimento humano,,2238-2259,,,2238-2259,,CentroParaná,centroparana,Brasil,,OJS3,http://www.periodicos.ulbra.br/,www.periodicos.ulbra.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=8; anos=2010-2017
PER_E5838F21C88001BB,Ciência & Consciência,,ciencia & consciencia,,1980-5152,,,1980-5152,,CentroParaná,centroparana,Brasil,,OJS3,http://www.periodicos.ulbra.br/,www.periodicos.ulbra.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=2; anos=2010-2011
PER_434241FE543AEF9F,Jus Societas,,jus societas,1981-4550,,,1981-4550,,,CentroParaná,centroparana,Brasil,,OJS3,http://revista.ulbrajp.edu.br/ojs/,revista.ulbrajp.edu.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=8; anos=2007-2015
PER_6F8AB55CF07476FB,Salão de Iniciação Científica CEULJI,,salao de iniciacao cientifica ceulji,1807-5770,,,1807-5770,,,CentroParaná,centroparana,Brasil,,OJS3,http://www.conferencias.ulbra.br/,www.conferencias.ulbra.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=6; anos=2013-2018
PER_35A4E9AF336F6EC6,Revista Philologus,,revista philologus,1413-6457,2675-6846,,1413-6457,2675-6846,,Círculo Fluminense de Estudos Filológicos e Linguísticos (CiFEFiL),circulo fluminense de estudos filologicos e linguisticos (cifefil),Brasil,,OJS3,https://www.revistaphilologus.org.br/,www.revistaphilologus.org.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=4; anos=2019-2022
PER_5C59949B33A07E5C,Revista de Defesa de Concorrência,,revista de defesa de concorrencia,,2318-2253,,,2318-2253,,Conselho de Administração de Defesa Econômica - CADE,conselho de administracao de defesa economica - cade,Brasil,,OJS3,https://revista.cade.gov.br/,revista.cade.gov.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=10; anos=2013-2022
PER_AD15A41BFD70C8B3,Revista Eletrônica Científica do CRA-PR - RECC,,revista eletronica cientifica do cra-pr - recc,,2358-7083,,,2358-7083,,Conselho Regional de Administração do Paraná,conselho regional de administracao do parana,Brasil,,OJS3,http://www.cra-pr.org.br/revista/,www.cra-pr.org.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=6; anos=2014-2019
PER_27129EA3C3EAFEA2,Revista Catarinense da Ciência Contábil,,revista catarinense da ciencia contabil,1808-3781,2237-7662,,1808-3781,2237-7662,,Conselho Regional de Contabilidade de Santa Catarina,conselho regional de contabilidade de santa catarina,Brasil,,OJS3,http://revista.crcsc.org.br/,revista.crcsc.org.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=22; anos=2001-2022
PER_15AD450E6FCC7C88,Revista Brasileira de Pós-Graduação,,revista brasileira de pos-graduacao,1806-8405,2358-2332,,1806-8405,2358-2332,,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior (CAPES),coordenacao de aperfeicoamento de pessoal de nivel superior (capes),Brasil,,OJS3,https://rbpg.capes.gov.br/,rbpg.capes.gov.br,titledb,,,False,False,True,gerado a partir do titledb; entradas=18; anos=2004-2022
