url_check_id,periodico_id,source_system,url_original,url_original_domain,check_date,http_status,redirect_count,final_url,final_domain,domain_changed,https_valid,timeout,ojs_detected,ojs_version_hint,is_accessible,problem_type,notes,created_at
URL_C41A2A5B655A0749,PER_674883926E1C19F3,periodicos,https://www2.marilia.unesp.br/revistas/,www2.marilia.unesp.br,,,0,,,,,True,,,False,timeout,"HTTPSConnectionPool(host='www2.marilia.unesp.br', port=443): Max retries exceeded with url: /revistas/ (Caused by ConnectTimeoutError(<HTTPSConnection(host='www2.marilia.unesp.br', port=443) at 0x106984190>, 'Connection to www2.marilia.unesp.br timed out. (connect timeout=20)'))",
URL_91777938F134D08F,PER_9055F6B8C1E0378A,periodicos,https://revista.fct.unesp.br/,revista.fct.unesp.br,,200,0,https://revista.fct.unesp.br/,revista.fct.unesp.br,False,True,False,True,3.4.0,True,ok,,
URL_A6002A7106AFBAF5,PER_A75C3B203FB238B9,periodicos,https://seer.tupa.unesp.br/,seer.tupa.unesp.br,,200,1,https://seer.tupa.unesp.br/BIOENG,seer.tupa.unesp.br,False,True,False,True,3.3.0,True,redirect,,
URL_0BE031F5C7B90AF8,PER_EBDE45B5A24D1A4A,periodicos,https://periodicos.ufba.br/,periodicos.ufba.br,,468,0,https://periodicos.ufba.br/,periodicos.ufba.br,False,True,False,False,,False,inaccessible,,
URL_BE34443B6A13E1A8,PER_F2CB37456D6CB7F9,periodicos,https://periodicos.ufba.br/,periodicos.ufba.br,,468,0,https://periodicos.ufba.br/,periodicos.ufba.br,False,True,False,False,,False,inaccessible,,
URL_7923CDF75BE0B880,PER_463B3BA8A284E336,periodicos,https://periodicos.ufba.br/,periodicos.ufba.br,,468,0,https://periodicos.ufba.br/,periodicos.ufba.br,False,True,False,False,,False,inaccessible,,
URL_140315519D609490,PER_A512D7684EA981ED,periodicos,https://periodicos.ufba.br/,periodicos.ufba.br,,468,0,https://periodicos.ufba.br/,periodicos.ufba.br,False,True,False,False,,False,inaccessible,,
URL_6E79624578F1487B,PER_D4CB07D2C162C05B,periodicos,https://periodicos.ufba.br/,periodicos.ufba.br,,468,0,https://periodicos.ufba.br/,periodicos.ufba.br,False,True,False,False,,False,inaccessible,,
URL_EE29F10442F19006,PER_4CC6442405D81DD8,periodicos,https://periodicos.ufba.br/,periodicos.ufba.br,,468,0,https://periodicos.ufba.br/,periodicos.ufba.br,False,True,False,False,,False,inaccessible,,
URL_E34E869992F85D8A,PER_0657F93BE10E5EF4,periodicos,https://periodicos.ufba.br/,periodicos.ufba.br,,468,0,https://periodicos.ufba.br/,periodicos.ufba.br,False,True,False,False,,False,inaccessible,,
